date,open,high,low,close,volumn,marketcap
2018-12-07,3512.59040851,3512.59040851,3280.22875211,3419.93720035,6835615448.4,59547645578.0
2018-12-08,3421.9104035,3506.04339159,3350.65070337,3476.11471452,5305024497.06,60531278391.8
2018-12-09,3473.22762038,3685.30559965,3469.09435766,3614.23427278,4947372847.28,62942160928.0
2018-12-10,3612.04639531,3647.33258231,3470.14441964,3502.65599577,5020968740.04,61004445982.3
2018-12-11,3497.5547337,3513.18494093,3392.2500529,3424.58807495,4696765187.88,59650201102.2
2018-12-12,3421.4583733000004,3534.22857953,3413.48135271,3486.95014412,4139364828.95,60741625425.5
2018-12-13,3487.87935755,3489.73939494,3298.13196161,3313.67725772,4343372456.25,57728688216.0
2018-12-14,3311.75191371,3329.55602092,3206.54229103,3242.48476281,4372763663.29,56494379457.3
2018-12-15,3243.99754038,3275.37782696,3191.30356157,3236.76164502,3551763561.38,56400691424.7
2018-12-16,3236.2747733,3305.75310795,3233.81979097,3252.83902595,3744248994.38,56685436643.8
2018-12-17,3253.12299273,3597.9178885,3253.12299273,3545.86476058,5409247918.12,61798926686.5
2018-12-18,3544.76156472,3701.34942887,3487.16920219,3696.05912776,5911325472.51,64422587801.3
2018-12-19,3706.82484989,3949.32295089,3687.23002226,3745.95076478,6810689118.78,65299132785.3
2018-12-20,3742.19518335,4191.22870639,3728.97463571,4134.44120304,8927129279.05,72078243770.6
2018-12-21,4133.703587,4198.42957996,3850.94616856,3896.54371704,7206015706.48,67937650255.4
2018-12-22,3898.08367671,4014.18251388,3855.73893391,4014.18251388,5605823232.54,69997508294.9
2018-12-23,4020.99467354,4085.72358463,3976.4057328,3998.98034184,6151275489.92,69741217416.6
2018-12-24,4000.33178206,4271.79245,4000.33178206,4078.59919478,7240968501.11,71137548588.8
2018-12-25,4081.03047102,4089.56159334,3760.02039224,3815.49060966,6158207293.44,66556033171.8
2018-12-26,3819.66669066,3893.35973112,3769.86381605,3857.29751969,5326547918.24,67292819464.6
2018-12-27,3854.68857317,3874.41687968,3645.44843766,3654.83353854,5130222366.47,63768757100.9
2018-12-28,3653.13192864,3956.13609361,3642.63210325,3923.91859424,5631554348.36,68471837968.7
2018-12-29,3932.49180904,3963.75880829,3820.40868219,3820.40868219,4991655917.48,66672244158.1
2018-12-30,3822.38483485,3901.9090157,3797.21912198,3865.95257679,4770578574.97,67475512827.4
2018-12-31,3866.83899926,3868.74298842,3725.86749335,3742.70033544,4661840806.32,65331499157.7
